"Date","Open","High","Low","Close"
"1996-10-30 00:00:00.000000",114.37,114.48,113.61,114.18
"1996-11-01 00:00:00.000000",113.5,113.5,113.5,113.5
"1996-11-04 00:00:00.000000",113.28,113.98,112.95,113.88
"1996-11-05 00:00:00.000000",113.71,114.33,113.45,114.25
"1996-11-06 00:00:00.000000",114.23,114.68,113.65,113.95
"1996-11-08 00:00:00.000000",111.99,112.31,111.35,111.74
"1996-11-11 00:00:00.000000",111.51,111.96,110.86,111.12
"1996-11-12 00:00:00.000000",111.02,111.55,110.88,111.33
"1996-11-13 00:00:00.000000",111.35,111.35,111.35,111.35
"1996-11-15 00:00:00.000000",111.43,111.52,110.55,111.05
"1996-11-18 00:00:00.000000",110.88,111.67,110.8,111.4
"1996-11-19 00:00:00.000000",111.3,111.8,111.2,111.58
"1996-11-20 00:00:00.000000",111.59,111.7,111.25,111.52
"1996-11-21 00:00:00.000000",111.43,111.87,111.2,111.25
"1996-11-22 00:00:00.000000",111.24,111.7,111.03,111.42
"1996-11-26 00:00:00.000000",112.62,112.78,112.29,112.4
"1996-11-28 00:00:00.000000",113.12,113.93,113.05,113.67
"1996-11-29 00:00:00.000000",113.75,113.94,113.35,113.8
"1996-12-02 00:00:00.000000",113.74,114.79,113.5,114.52
"1996-12-03 00:00:00.000000",114.46,114.6,112.83,113.3
"1996-12-04 00:00:00.000000",113.35,113.45,112.9,113.05
"1996-12-05 00:00:00.000000",112.85,113.3,112.05,112.25
"1996-12-06 00:00:00.000000",112.3,113,111.73,112.95
"1996-12-09 00:00:00.000000",113.12,113.48,112.8,113.4
"1996-12-10 00:00:00.000000",113.46,113.72,112.96,113.35
"1996-12-11 00:00:00.000000",113.1,113.33,112.58,112.88
"1996-12-12 00:00:00.000000",112.85,113.57,112.43,113.13
"1996-12-13 00:00:00.000000",113.04,114,112.64,113.85
"1996-12-16 00:00:00.000000",113.98,114.29,113.6,113.82
"1996-12-17 00:00:00.000000",113.7,114.15,113.42,113.82
"1996-12-18 00:00:00.000000",113.75,113.81,113.25,113.63
"1996-12-19 00:00:00.000000",113.4,114.19,113.3,114.01
"1996-12-20 00:00:00.000000",114,114.41,113.99,114.25
"1996-12-23 00:00:00.000000",114.15,114.35,113.84,114.05
"1996-12-24 00:00:00.000000",114.15,114.5,114.1,114.4
"1996-12-25 00:00:00.000000",114.45,114.69,114.4,114.63
"1996-12-26 00:00:00.000000",114.6,115.08,114.4,114.88
"1996-12-27 00:00:00.000000",114.75,116.12,114.7,115.25
"1996-12-30 00:00:00.000000",115.69,116.2,115.5,116.2
"1996-12-31 00:00:00.000000",116.08,116.43,115.59,115.9
"1997-01-01 00:00:00.000000",115.95,115.95,115.75,115.85
"1997-01-02 00:00:00.000000",116.02,116.2,115.28,115.65
"1997-01-03 00:00:00.000000",115.67,116.7,115.3,116.41
"1997-01-06 00:00:00.000000",116.7,116.98,115.35,115.71
"1997-01-07 00:00:00.000000",115.69,116.02,114.8,115.22
"1997-01-08 00:00:00.000000",115.34,116,114.9,115.85
"1997-01-09 00:00:00.000000",115.77,116.45,115.7,116.31
"1997-01-10 00:00:00.000000",116.3,116.67,115.2,116.11
